id_produtor,id_laticinio,id_rota,polo_climatico,dias_observados,data_ultima,litros_coletados_total,litros_coletados_media,litros_previstos_total,litros_descartados_total,ccs_media,cbt_media,reprovacoes,falhas_coleta,antibiotico,churn_eventos,risco_queda_pct,score_sanidade,score_manejo,custo_logistico_medio,margem_estimada_media,taxa_descarte_pct,taxa_reprovacao_pct,taxa_falha_pct,risco_antibiotico_pct,risco_churn_pct,tendencia_volume_pct,municipio,tipo_sistema,nivel_tecnificacao,raca_predominante,porte_produtor,vacas_lactacao,distancia_km_laticinio,prob_churn_base,previsto_7d,realizado_7d,erro_abs_predicao,score_volume,score_qualidade,score_logistica,score_continuidade,score_risco_fornecedor,classe_risco,recomendacao,cv_producao,dias_serie,perfil,perfil_confianca,recomendacao_combinada
19,4,35,JATAI,1826,2025-12-31,679918.02,372.35378970427166,693836.8,13844.11,615.8015334063527,137.40556407447974,2,4,0,1,12.431544359255204,0.566,0.514,1.216281270536692,0.4723378422782037,1.995297741486182,0.10952902519167579,0.21905805038335158,0.0,0.054764512595837894,-8.615144426128635,Serranópolis,PASTO,BAIXO,GIROLANDO,PEQUENO,38,143.36,0.001096,,,,100.0,49.4,88.8,57.7,76.2,Alto,"Priorizar contato de campo para proteger volume; abrir plano de qualidade e verificar manejo, ordenha e tanque.",0.17820977801480958,1826,Desafiador,0.8,"[AÇÃO IMEDIATA · Score 76] Perfil Desafiador. Trabalhar o básico: rotina de ordenha, controle de mastite e ajustes nutricionais. (Investimento esperado: Médio — foco em fundamentos antes de tecnificação.)"
5,2,16,JATAI,1826,2025-12-31,1741414.1,953.6769441401972,1775065.29,33314.05,647.7851204819276,231.46156078860898,2,1,1,0,14.348302300109527,0.523,0.421,1.3575110076670316,0.35339331872946333,1.876778853582338,0.10952902519167579,0.054764512595837894,0.054764512595837894,0.0,-15.78486711262665,Jataí,PASTO,BAIXO,HOLANDESA,MEDIO,111,176.98,8.4e-05,,,,100.0,71.2,56.1,45.0,74.3,Medio,"Priorizar contato de campo para proteger volume; abrir plano de qualidade e verificar manejo, ordenha e tanque.",0.18204598871895797,1826,Desafiador,0.8,"[AÇÃO IMEDIATA · Score 74] Perfil Desafiador. Trabalhar o básico: rotina de ordenha, controle de mastite e ajustes nutricionais. (Investimento esperado: Médio — foco em fundamentos antes de tecnificação.)"
14,1,9,JATAI,1826,2025-12-31,582909.97,319.2278039430449,595034.32,11803.78,446.9046987951807,222.12254107338444,3,5,4,1,7.119386637458927,0.356,0.453,0.9116989047097481,0.4428196604600219,1.9837141494628414,0.16429353778751368,0.2738225629791895,0.21905805038335158,0.054764512595837894,-0.09586727093217631,Serranópolis,PASTO,BAIXO,GIROLANDO,PEQUENO,32,128.65,0.000378,,,,52.3,86.4,84.5,62.4,70.5,Medio,"Abrir plano de qualidade e verificar manejo, ordenha e tanque.",0.1552489887303829,1826,Oscilante,0.85,"[ATENÇÃO · Score 70] Perfil Oscilante. Padronização de rotina e consistência operacional. Pequenos ajustes geram ganho relevante. (Investimento esperado: Baixo a médio — problema de consistência, não estrutural.)"
8,3,20,JATAI,1826,2025-12-31,346653.02,189.84283680175247,353436.99,6695.7,629.6594742606791,246.22890470974806,4,3,0,1,12.924424972617743,0.514,0.481,0.536995399780942,0.3699854326396495,1.8944536620233214,0.21905805038335158,0.16429353778751368,0.0,0.054764512595837894,-2.1693366855155145,Serranópolis,PASTO,BAIXO,MISTA,PEQUENO,24,13.38,0.000718,,,,81.2,75.0,23.0,62.7,64.9,Medio,"Abrir plano de qualidade e verificar manejo, ordenha e tanque.",0.21447163101410888,1826,Desafiador,0.8,"[ATENÇÃO · Score 65] Perfil Desafiador. Trabalhar o básico: rotina de ordenha, controle de mastite e ajustes nutricionais. (Investimento esperado: Médio — foco em fundamentos antes de tecnificação.)"
7,1,3,RIO_VERDE,1826,2025-12-31,927573.52,507.98111719605697,949866.9,22018.29,524.4824589266155,142.1780339539978,1,5,2,0,9.802847754654984,0.416,0.428,1.0769615553121576,0.47089961664841185,2.318039506377157,0.054764512595837894,0.2738225629791895,0.10952902519167579,0.0,2.8171447852486478,Santo Antônio da Barra,PASTO,BAIXO,MISTA,MEDIO,68,108.62,0.001284,,,,51.5,56.9,91.6,40.2,59.4,Medio,"Abrir plano de qualidade e verificar manejo, ordenha e tanque.",0.19675180948107257,1826,Oscilante,0.7,"[ATENÇÃO · Score 59] Perfil Oscilante. Padronização de rotina e consistência operacional. Pequenos ajustes geram ganho relevante. (Investimento esperado: Baixo a médio — problema de consistência, não estrutural.)"
13,4,40,JATAI,1826,2025-12-31,3250759.89,1780.2628094194963,3317708.79,66360.92,490.8228860898138,114.63766703176341,2,3,1,3,10.405257393209201,0.614,0.577,0.6660561883899233,0.5575142387732749,2.000203278841721,0.10952902519167579,0.16429353778751368,0.054764512595837894,0.16429353778751368,0.005824313669598712,Jataí,PASTO,BAIXO,GIROLANDO,GRANDE,193,83.45,0.001312,,,,65.1,47.1,38.9,79.8,56.7,Medio,Manter acompanhamento regular e reforçar boas práticas.,0.17177785212753752,1826,Oscilante,0.85,"[ATENÇÃO · Score 57] Perfil Oscilante. Padronização de rotina e consistência operacional. Pequenos ajustes geram ganho relevante. (Investimento esperado: Baixo a médio — problema de consistência, não estrutural.)"
29,1,7,RIO_VERDE,1826,2025-12-31,1419285.81,777.26495618839,1448670.64,28931.2,265.2897316538883,123.35823658269442,4,4,1,1,7.1741511500547634,0.765,0.758,1.0969268893756845,0.691910843373494,1.9970861009511454,0.21905805038335158,0.21905805038335158,0.054764512595837894,0.054764512595837894,-2.9199472190167266,Santo Antônio da Barra,PASTO,MEDIO,GIROLANDO,MEDIO,80,157.8,0.000473,,,,63.8,36.3,88.3,23.3,54.4,Medio,Manter acompanhamento regular e reforçar boas práticas.,0.12094467886329305,1826,Consistente,0.9,[ATENÇÃO · Score 54] Perfil Consistente. Manutenção e captura de bonificação. Foco em estabilidade e ganho de valor agregado. (Investimento esperado: Baixo — o básico já está dominado.)
9,1,2,RIO_VERDE,1826,2025-12-31,1754596.56,960.8962541073385,1794929.48,39506.7,374.8942935377875,213.0615717415115,3,7,3,1,1.9167579408543263,0.41,0.451,0.8358986856516978,0.47481276013143486,2.201016833262998,0.16429353778751368,0.3833515881708653,0.16429353778751368,0.054764512595837894,0.2723244211475186,Montividiu,SEMI_CONFINADO,BAIXO,HOLANDESA,MEDIO,88,44.35,0.000425,,,,29.8,71.6,64.9,57.3,53.5,Medio,"Abrir plano de qualidade e verificar manejo, ordenha e tanque.",0.09970557654575762,1826,Consistente,0.9,[ATENÇÃO · Score 54] Perfil Consistente. Manutenção e captura de bonificação. Foco em estabilidade e ganho de valor agregado. (Investimento esperado: Baixo — o básico já está dominado.)
26,4,33,SUDESTE_SUL_GOIANO,1826,2025-12-31,913005.72,500.00313253012047,931120.34,17538.46,437.98476451259586,118.4506516976999,4,0,4,2,1.5881708652792992,0.47,0.426,0.6838240963855422,0.5199186746987952,1.8835868197230017,0.21905805038335158,0.0,0.21905805038335158,0.10952902519167579,-5.394629780309187,Itumbiara,SEMI_CONFINADO,BAIXO,GIROLANDO,MEDIO,47,54.22,0.000886,,,,51.2,71.3,11.9,68.0,51.9,Medio,Manter acompanhamento regular e reforçar boas práticas.,0.09358088593456619,1826,Consistente,0.9,[ATENÇÃO · Score 52] Perfil Consistente. Manutenção e captura de bonificação. Foco em estabilidade e ganho de valor agregado. (Investimento esperado: Baixo — o básico já está dominado.)
21,1,3,RIO_VERDE,1826,2025-12-31,1340138.37,733.9202464403068,1372042.34,31478.27,423.2209364731654,159.8850438116101,4,5,1,0,6.2979189485213585,0.419,0.415,1.0845636911281489,0.487463143483023,2.294263746991948,0.21905805038335158,0.2738225629791895,0.054764512595837894,0.0,14.286337474814411,Santo Antônio da Barra,PASTO,BAIXO,GIROLANDO,MEDIO,85,110.31,0.000509,,,,21.1,58.9,92.4,37.6,49.2,Baixo,Manter acompanhamento regular e reforçar boas práticas.,0.1257321733208917,1826,Consistente,0.9,[ATENÇÃO · Score 49] Perfil Consistente. Manutenção e captura de bonificação. Foco em estabilidade e ganho de valor agregado. (Investimento esperado: Baixo — o básico já está dominado.)
