feature,importance
num__mm_7_litros_coletados,0.63963276
num__mm_30_litros_coletados,0.16944069
num__mm_3_litros_coletados,0.09286203
num__mm_14_litros_coletados,0.041281443
num__lag_litros_produzidos_1,0.040521033
num__lag_litros_coletados_1,0.0036403588
num__producao_media_esperada_litros_dia,0.001269336
num__lag_litros_produzidos_7,0.0011926836
cat__porte_produtor_GRANDE,0.0008197537
num__cos_dia_ano,0.0004731779
num__lag_litros_coletados_28,0.00046119603
num__vacas_lactacao,0.00033743517
num__semana_ano,0.00031194376
num__capacidade_maxima_litros_dia,0.00025509967
num__lag_litros_produzidos_14,0.00025319413
num__sin_dia_ano,0.00024431356
num__lag_litros_produzidos_21,0.0002371159
num__lag_litros_coletados_14,0.00021954799
num__lag_litros_coletados_21,0.0002154185
num__dry_spell_10d,0.00021318224
num__mm_30_ccs,0.00018016213
num__dias_sem_chuva,0.00017566663
num__lag_litros_produzidos_28,0.00016807318
num__mm_30_cbt,0.00015747292
num__dia_do_ano,0.00015477507
num__custo_logistico_rateado,0.00015338471
num__indice_favorabilidade_pastagem,0.00013706186
num__mm_14_thi,0.0001344878
num__mes,0.00013315934
num__mm_30_thi,0.00013247288
num__mm_14_cbt,0.0001307176
num__id_rota,0.000105242805
num__mm_7_ccs,0.00010271018
num__id_laticinio,9.8175085e-05
num__mm_14_precip,9.714358e-05
num__distancia_x_custo,9.571516e-05
num__lag_precip_15d_28,9.566978e-05
num__margem_estimada_fornecedor,9.490293e-05
num__mm_7_cbt,9.253911e-05
num__mm_30_precip,9.249779e-05
num__lag_precip_15d_3,9.183716e-05
num__mm_14_ccs,8.993345e-05
num__precip_7d,8.856468e-05
num__std_30_litros_coletados,8.610439e-05
num__mm_7_thi,8.384071e-05
num__lag_precip_15d_14,8.14203e-05
num__lag_precip_15d_7,8.1231046e-05
cat__polo_climatico_SUDESTE_SUL_GOIANO,8.010396e-05
num__mm_7_precip,7.671428e-05
num__distancia_km_laticinio,7.467258e-05
num__precip_3d,7.4398245e-05
num__precip_15d,7.401071e-05
num__score_sanidade,7.089408e-05
num__lag_precip_15d_21,6.8215646e-05
num__lag_precip_15d_2,6.3347776e-05
num__ano,6.3239364e-05
num__lag_precip_15d_1,6.2523475e-05
num__sensibilidade_qualidade,6.233269e-05
num__onda_calor_5d,6.181972e-05
num__mm_3_cbt,6.0064067e-05
cat__polo_climatico_JATAI,5.7493642e-05
num__sensibilidade_seca,5.699748e-05
num__tendencia_7_30_litros,5.6181863e-05
num__chuva_x_estrada_ruim,5.4491702e-05
cat__polo_climatico_RIO_VERDE,5.4217482e-05
num__lag_litros_coletados_7,5.4116786e-05
num__std_14_litros_coletados,5.324357e-05
num__percentual_estrada_nao_pavimentada,5.2690535e-05
num__intensidade_estresse_termico,4.8006772e-05
num__id_laticinio_principal,4.725742e-05
num__sensibilidade_calor,4.582101e-05
num__id_rota_principal,4.5371875e-05
num__score_manejo,4.5172706e-05
num__capacidade_tanque_litros,4.433996e-05
num__precip_mm,4.3419317e-05
num__mm_3_thi,4.2922948e-05
num__std_7_litros_coletados,4.2906955e-05
num__mm_3_precip,4.22259e-05
num__lag_litros_produzidos_3,4.207273e-05
num__mm_3_ccs,4.198734e-05
num__prob_churn_base,4.135813e-05
num__thi_3d_avg,4.1032312e-05
cat__nivel_tecnificacao_MEDIO,3.7364593e-05
num__id_produtor,3.6654863e-05
num__interacao_seca_calor,3.5527664e-05
num__lag_litros_produzidos_2,3.478235e-05
cat__porte_produtor_MEDIO,3.4339795e-05
cat__porte_produtor_PEQUENO,3.360122e-05
cat__tipo_sistema_PASTO,3.3321376e-05
num__lag_thi_21,3.31599e-05
num__lag_litros_coletados_2,3.1931602e-05
cat__dificuldade_logistica_ALTA,3.107929e-05
num__thi,3.09796e-05
cat__dificuldade_logistica_MEDIA,3.0386314e-05
num__lag_thi_28,2.9667135e-05
cat__dificuldade_logistica_BAIXA,2.9098272e-05
num__lag_litros_coletados_3,2.9046978e-05
num__lag_thi_3,2.893277e-05
cat__polo_climatico_MINEIROS,2.858645e-05
cat__tipo_sistema_SEMI_CONFINADO,2.8418937e-05
cat__raca_predominante_MISTA,2.8121856e-05
num__temp_med_c,2.7207776e-05
num__lag_thi_14,2.7104981e-05
num__lag_thi_7,2.6483192e-05
cat__raca_predominante_GIROLANDO,2.6037866e-05
num__cbt,2.5221847e-05
cat__polo_climatico_cad_RIO_VERDE,2.498564e-05
num__std_3_litros_coletados,2.455204e-05
num__lag_thi_1,2.426944e-05
num__radiacao_proxy,2.3872743e-05
num__proporcao_coletado_produzido_lag1,2.3542558e-05
cat__raca_predominante_HOLANDESA,2.0878762e-05
num__anomalia_temp,2.065505e-05
num__lag_thi_2,2.0068084e-05
num__umidade_med_pct,1.7152868e-05
num__temp_max_c,1.6019108e-05
num__vento_med_ms,1.583909e-05
num__dia_semana,1.3997054e-05
num__temp_min_c,1.3384755e-05
num__ccs,1.1412366e-05
num__temp_tanque_c,1.0787595e-05
num__litros_descartados,7.2196176e-06
num__flag_antibiotico,5.8331602e-06
num__flag_falha_coleta,3.8739922e-06
num__onda_calor_3d,2.275398e-06
num__ativo,0.0
num__flag_qualidade_reprovada,0.0
num__flag_mudou_laticinio,0.0
cat__polo_climatico_cad_MINEIROS,0.0
cat__polo_climatico_cad_JATAI,0.0
cat__nivel_tecnificacao_ALTO,0.0
cat__nivel_tecnificacao_BAIXO,0.0
cat__tipo_sistema_CONFINADO,0.0
cat__polo_climatico_cad_SUDESTE_SUL_GOIANO,0.0
