data,id_rota,id_laticinio,litros_previstos,litros_realizados,num_produtores_planejados,num_produtores_atendidos,custo_total,km_rodados,tempo_total_horas,ocupacao_tanque_pct,indice_atraso,indice_perda_rota
2021-01-01,2,1,961.78,940.83,1,1,0.8264,278.38,3.14,14.63,0.0096,0.0218
2021-01-01,3,1,1265.56,1239.65,2,2,2.1378,243.0,6.07,10.3,0.0,0.0205
2021-01-01,4,1,1342.12,1316.12,2,2,1.0654,137.88,4.68,10.13,0.0,0.0194
2021-01-01,6,1,491.0,487.92,1,1,0.5665,204.37,8.55,3.47,0.0595,0.0063
2021-01-01,7,1,1050.94,1033.69,2,2,1.9188999999999998,143.91,8.57,12.93,0.0,0.0164
2021-01-01,8,1,487.73,475.79,1,1,0.5943,166.63,8.97,7.3,0.0553,0.0245
2021-01-01,9,1,332.13,323.09,1,1,0.9182,114.99,6.07,1.75,0.0859,0.0272
2021-01-01,11,2,791.27,789.24,1,1,0.8551,247.4,7.89,5.64,0.0,0.0026
2021-01-01,13,2,431.51,424.11,2,2,1.291,135.47,8.75,3.05,0.0492,0.0171
2021-01-01,14,2,999.36,965.14,1,1,0.8816,263.45,9.22,18.18,0.0937,0.0342
2021-01-01,15,2,177.14,175.2,1,1,0.6922,141.09,6.85,1.64,0.0703,0.011
2021-01-01,16,2,2202.18,2143.0,2,2,2.2056,242.56,10.14,18.45,0.0776,0.0269
2021-01-01,19,2,1256.87,1220.88,1,1,0.7151,245.82,5.9,6.78,0.0,0.0286
2021-01-01,20,3,216.27,215.59,1,1,0.5372,194.04,3.26,1.64,0.0316,0.0031
2021-01-01,21,3,580.68,577.09,1,1,0.5877,89.13,3.98,10.86,0.1056,0.0062
2021-01-01,23,3,293.65,289.73,1,1,0.5759,65.41,9.05,3.0,0.056,0.0133
2021-01-01,29,3,489.95,485.43,1,1,1.2679,216.33,4.78,3.37,0.0369,0.0092
2021-01-01,30,4,2208.73,2191.41,1,1,0.7506,251.45,5.14,10.1,0.0198,0.0078
2021-01-01,33,4,754.76,744.0799999999999,2,2,1.4895,178.54,8.29,10.5,0.0,0.0142
2021-01-01,34,4,464.81,450.66,1,1,0.778,194.96,3.23,2.7,0.0,0.0304
2021-01-01,35,4,1004.69,979.1199999999999,2,2,2.1792,235.25,7.15,14.01,0.0801,0.0255
2021-01-01,40,4,2077.92,2061.17,1,1,0.6729,101.05,9.23,20.69,0.0489,0.0081
2021-01-01,41,4,1213.54,1175.48,1,1,0.8149,274.94,3.45,6.07,0.0423,0.0314
2021-01-02,2,1,928.05,914.82,1,1,0.8602,270.92,3.44,14.22,0.1061,0.0143
2021-01-02,3,1,1288.6,1251.48,2,2,2.2222999999999997,240.07,6.63,10.4,0.0524,0.0288
2021-01-02,4,1,1382.05,1352.17,2,2,1.0697,133.37,4.67,10.4,0.0,0.0216
2021-01-02,6,1,513.72,505.46,1,1,0.5731,210.12,7.85,3.6,0.0,0.0161
2021-01-02,7,1,1033.96,1012.69,2,2,1.9333,145.75,9.16,12.66,0.0409,0.0206
2021-01-02,8,1,481.17,473.15,1,1,0.5779,177.16,8.39,7.26,0.0,0.0167
2021-01-02,9,1,341.79,330.64,1,1,0.918,119.53,6.16,1.8,0.102,0.0326
2021-01-02,11,2,789.92,761.21,1,1,0.8621,227.52,8.09,5.44,0.0228,0.0363
2021-01-02,13,2,438.94,431.88,2,2,1.2646000000000002,140.97,8.86,3.11,0.0624,0.0161
2021-01-02,14,2,962.53,939.49,1,1,0.8859,240.05,9.12,17.7,0.0819,0.0239
2021-01-02,15,2,188.72,180.46,1,1,0.7389,137.95,7.0,1.69,0.0938,0.0438
2021-01-02,16,2,2247.1400000000003,2190.75,2,2,2.2056,232.18,9.3,18.86,0.0,0.0251
2021-01-02,19,2,1352.45,1334.62,1,1,0.7151,255.18,5.91,7.41,0.0,0.0132
2021-01-02,20,3,219.63,218.63,1,1,0.5372,202.21,3.45,1.66,0.0918,0.0046
2021-01-02,21,3,589.53,569.35,1,1,0.5874,88.96,3.48,10.71,0.0,0.0342
2021-01-02,23,3,296.16,288.98,1,1,0.5759,62.29,9.42,2.99,0.0992,0.0242
2021-01-02,29,3,456.55,444.77,1,1,1.2708,221.77,4.91,3.09,0.0651,0.0258
2021-01-02,30,4,2201.54,2131.84,1,1,0.7506,246.68,5.39,9.82,0.0694,0.0317
2021-01-02,33,4,791.76,773.58,2,2,1.4895,182.78,8.47,10.91,0.0,0.023
2021-01-02,34,4,433.44,421.23,1,1,0.778,191.24,3.29,2.52,0.0061,0.0282
2021-01-02,35,4,1095.8200000000002,997.8199999999999,2,2,2.1788,241.36,6.87,14.28,0.0378,0.0894
2021-01-02,40,4,2126.53,2080.15,1,1,0.6727,95.27,8.6,20.89,0.0,0.0218
